time,targetX,targetY,x,y,theta,E3,E4,dE3,dE4,L,R,dS,dtheta,motorL,motorR,distance,angleError
8.099082231521606,1.0,1.0,1.0038749907841578,0.20706420344227294,1.6767306151569232,5115,5152,49,56,0.0320704250053958,0.03665191429188092,0.03436116964863836,0.0236159241571398,41,30,0.7929452648299341,-0.10104743629368151
8.23751711845398,1.0,1.0,1.0005839592374854,0.2419248707496879,1.6531146909997834,5172,5202,57,50,0.03730641276137879,0.032724923474893676,0.03501566811813624,-0.023615924157139766,38,29,0.758075354167558,-0.08154804593503706
8.375178575515747,1.0,1.0,0.998322704211031,0.2755556068059213,1.6227513599406036,5228,5249,56,47,0.03665191429188092,0.03076142806640006,0.03370667117914049,-0.030363331059179707,35,29,0.7244463349010061,-0.054270314770716865
8.530824184417725,1.0,1.0,0.9971517768747394,0.3089144847623942,1.5890143254304039,5284,5295,56,46,0.03665191429188092,0.030106929596902185,0.03337942194439156,-0.03373703451019968,32,29,0.6910913845116277,-0.022339351111046346
8.673197746276855,1.0,1.0,0.9972890089645102,0.34589339364952565,1.5451561805671443,5347,5345,63,50,0.04123340357836604,0.032724923474893676,0.03697916352662986,-0.04385814486325959,28,30,0.6541122242732732,0.0214955993195296
8.807524681091309,1.0,1.0,0.9985844630452714,0.3776101243563753,1.5147928495079646,5400,5389,53,44,0.0346884188833873,0.028797932657906436,0.031743175770646864,-0.030363331059179707,25,30,0.6223914853599435,0.053729123912279464
8.944975852966309,1.0,1.0,1.0006466671991758,0.40797435586623804,1.491176925350825,5450,5432,50,43,0.032724923474893676,0.028143434188408565,0.030434178831651122,-0.023615924157139746,22,31,0.5920259973096301,0.08071169693566382
9.089714765548706,1.0,1.0,1.0033001318898056,0.438621127014597,1.4776821115467451,5499,5477,49,45,0.0320704250053958,0.02945243112740431,0.030761428066400056,-0.013494813804079851,19,30,0.5613885730087952,0.09899276542864088
9.226691722869873,1.0,1.0,1.006301664188572,0.4685780629996454,1.4641872977426653,5547,5521,48,44,0.031415926535897934,0.028797932657906436,0.030106929596902185,-0.013494813804079886,17,30,0.5314592986266722,0.1184665915751848
9.362661600112915,1.0,1.0,1.0092148469646,0.496241278855537,1.4675610011936853,5589,5564,42,43,0.027488935718910687,0.028143434188408565,0.027816184953659624,0.003373703451019989,15,29,0.5038429939313296,0.12152546929369734
9.499551773071289,1.0,1.0,1.0118630835473719,0.5236023539433341,1.481055814997765,5629,5608,40,44,0.02617993877991494,0.028797932657906436,0.027488935718910687,0.013494813804079868,15,27,0.4765453282947848,0.11463700843316671
9.635956287384033,1.0,1.0,1.0138412015395897,0.5483945058721855,1.5012980357038848,5664,5649,35,41,0.022907446432425576,0.026834437249412816,0.024870941840919196,0.020242220706119793,14,25,0.45181755298625464,0.10013757744283591
9.772058486938477,1.0,1.0,1.0152186126684055,0.5722439573350984,1.5249139598610246,5697,5689,33,40,0.021598449493429827,0.02617993877991494,0.023889194136672384,0.023615924157139766,14,23,0.4280266793178763,0.0814451524725388
9.907672643661499,1.0,1.0,1.0160142364419877,0.5944826775287534,1.5451561805671443,5728,5726,31,37,0.02028945255443408,0.02421644337142132,0.0222529479629277,0.020242220706119793,14,21,0.405833407438408,0.06511051763643216
10.047670841217041,1.0,1.0,1.0163595668777616,0.6167329458401895,1.565398401273264,5759,5763,31,37,0.02028945255443408,0.02421644337142132,0.0222529479629277,0.020242220706119793,15,20,0.3836160453275737,0.04805654179056584
